brand,model,year,transmission,mileage,fuelType,engineSize,price
8,129,2016,0,43000,4,2.0,15495
8,129,2018,1,29883,0,2.0,17590
8,129,2017,0,19296,2,2.5,21999
8,129,2019,0,6677,2,2.5,30000
8,129,2017,0,18750,2,2.5,20750
8,129,2017,0,13069,4,2.0,19999
8,129,2014,3,31306,4,2.0,14295
8,129,2017,0,30524,2,2.5,23895
8,129,2017,0,18800,2,2.5,20000
8,129,2017,0,7700,2,2.5,21000
8,129,2017,0,44687,2,2.5,17900
8,129,2016,0,39510,2,2.5,17295
8,129,2017,1,19200,0,2.0,15450
8,129,2013,0,30524,0,2.2,12495
8,129,2016,0,18501,2,2.5,21250
8,129,2016,0,38000,2,2.5,22075
8,129,2017,0,28128,2,2.5,20795
8,129,2016,0,6254,4,2.0,19490
8,129,2016,1,22080,0,2.0,14650
8,129,2014,1,41411,0,2.0,10995
8,129,2016,0,26128,2,2.5,19990
8,129,2016,0,32196,2,2.5,20790
8,129,2017,0,33128,4,2.0,18000
8,129,2016,1,47000,0,2.0,14010
8,129,2017,1,38000,0,2.0,16000
8,129,2013,1,57962,0,2.2,10500
8,129,2017,0,22860,2,2.5,25000
8,129,2017,1,47362,0,2.0,14795
8,129,2017,0,30096,2,2.5,20870
8,129,2017,1,18000,0,2.0,15995
8,129,2016,0,29200,2,2.5,20250
8,129,2017,1,32804,0,2.0,15750
8,129,2016,0,40006,2,2.5,20995
8,129,2013,1,43573,0,2.0,12295
8,129,2017,1,42810,0,2.0,15895
8,129,2017,1,31057,0,2.0,17295
8,129,2016,0,23750,2,2.5,23995
8,129,2017,0,40312,2,2.5,18995
8,129,2016,1,37531,0,2.0,15995
8,129,2017,0,31284,2,2.5,22995
8,129,2016,0,22531,2,2.5,21995
8,129,2015,1,66973,0,2.0,11395
8,129,2017,0,42596,2,2.5,19862
8,129,2016,0,57500,2,2.5,21018
8,129,2017,0,62734,2,2.5,20112
8,129,2016,0,32754,4,2.0,20495
8,129,2019,0,12740,2,2.5,32495
8,129,2017,0,53569,2,2.5,21395
8,129,2018,0,10116,4,2.0,22346
8,129,2016,0,27361,2,2.5,21271
8,129,2015,1,38999,0,2.0,11804
8,129,2016,0,47339,2,2.5,18995
8,129,2020,0,1114,2,2.5,36500
8,129,2016,0,63016,2,2.5,16700
8,129,2015,1,52462,0,2.0,10500
8,129,2016,0,14000,2,2.5,21000
8,129,2015,0,47291,0,2.2,14000
8,129,2017,0,25981,4,2.0,19000
8,129,2016,0,37713,2,2.5,22000
8,129,2016,1,43733,0,2.0,13599
8,129,2016,0,51242,2,2.5,19545
8,129,2016,0,24431,4,2.0,16217
8,129,2017,0,25596,2,2.5,20750
8,129,2019,0,9000,2,2.5,29903
8,129,2013,0,67000,0,2.2,11270
8,129,2017,0,32480,2,2.5,21995
8,129,2017,0,23237,2,2.5,21692
8,129,2017,0,32814,2,2.5,22485
8,129,2018,0,13627,2,2.5,27006
8,129,2016,0,16745,2,2.5,20444
8,129,2016,0,18863,4,2.0,17750
8,129,2017,0,11500,4,2.0,20999
8,129,2017,1,36000,0,2.0,17995
8,129,2017,0,33900,4,2.0,18991
8,129,2013,1,63808,0,2.2,9991
8,129,2016,0,26895,2,2.5,23490
8,129,2019,0,16885,2,2.5,29900
8,129,2014,1,58941,0,2.0,10201
8,129,2013,3,34201,4,2.0,13495
8,129,2016,0,41643,2,2.5,19995
8,129,2016,0,31186,2,2.5,19995
